0
"~W(1, 1)"
"~P(1, 1)"
"(W(1, 1) | OK(1, 1, 0) | P(1, 1))"
"(WumpusAlive(0) | OK(1, 1, 0) | P(1, 1))"
"(~P(1, 1) | ~OK(1, 1, 0))"
"(~W(1, 1) | ~WumpusAlive(0) | ~OK(1, 1, 0))"
"(~P(1, 2) | B(1, 1))"
"(~P(2, 1) | B(1, 1))"
"(P(1, 2) | P(2, 1) | ~B(1, 1))"
"(~W(1, 2) | S(1, 1))"
"(~W(2, 1) | S(1, 1))"
"(W(1, 2) | W(2, 1) | ~S(1, 1))"
"(W(2, 1) | OK(2, 1, 0) | P(2, 1))"
"(WumpusAlive(0) | OK(2, 1, 0) | P(2, 1))"
"(~P(2, 1) | ~OK(2, 1, 0))"
"(~W(2, 1) | ~WumpusAlive(0) | ~OK(2, 1, 0))"
"(~P(1, 1) | B(2, 1))"
"(~P(2, 2) | B(2, 1))"
"(~P(3, 1) | B(2, 1))"
"(P(1, 1) | P(2, 2) | P(3, 1) | ~B(2, 1))"
"(~W(1, 1) | S(2, 1))"
"(~W(2, 2) | S(2, 1))"
"(~W(3, 1) | S(2, 1))"
"(W(1, 1) | W(2, 2) | W(3, 1) | ~S(2, 1))"
"(W(3, 1) | OK(3, 1, 0) | P(3, 1))"
"(WumpusAlive(0) | OK(3, 1, 0) | P(3, 1))"
"(~P(3, 1) | ~OK(3, 1, 0))"
"(~W(3, 1) | ~WumpusAlive(0) | ~OK(3, 1, 0))"
"(~P(2, 1) | B(3, 1))"
"(~P(3, 2) | B(3, 1))"
"(P(2, 1) | P(3, 2) | ~B(3, 1))"
"(~W(2, 1) | S(3, 1))"
"(~W(3, 2) | S(3, 1))"
"(W(2, 1) | W(3, 2) | ~S(3, 1))"
"(W(1, 2) | OK(1, 2, 0) | P(1, 2))"
"(WumpusAlive(0) | OK(1, 2, 0) | P(1, 2))"
"(~P(1, 2) | ~OK(1, 2, 0))"
"(~W(1, 2) | ~WumpusAlive(0) | ~OK(1, 2, 0))"
"(~P(1, 3) | B(1, 2))"
"(~P(2, 2) | B(1, 2))"
"(~P(1, 1) | B(1, 2))"
"(P(1, 3) | P(2, 2) | P(1, 1) | ~B(1, 2))"
"(~W(1, 3) | S(1, 2))"
"(~W(2, 2) | S(1, 2))"
"(~W(1, 1) | S(1, 2))"
"(W(1, 3) | W(2, 2) | W(1, 1) | ~S(1, 2))"
"(W(2, 2) | OK(2, 2, 0) | P(2, 2))"
"(WumpusAlive(0) | OK(2, 2, 0) | P(2, 2))"
"(~P(2, 2) | ~OK(2, 2, 0))"
"(~W(2, 2) | ~WumpusAlive(0) | ~OK(2, 2, 0))"
"(~P(1, 2) | B(2, 2))"
"(~P(2, 3) | B(2, 2))"
"(~P(3, 2) | B(2, 2))"
"(~P(2, 1) | B(2, 2))"
"(P(1, 2) | P(2, 3) | P(3, 2) | P(2, 1) | ~B(2, 2))"
"(~W(1, 2) | S(2, 2))"
"(~W(2, 3) | S(2, 2))"
"(~W(3, 2) | S(2, 2))"
"(~W(2, 1) | S(2, 2))"
"(W(1, 2) | W(2, 3) | W(3, 2) | W(2, 1) | ~S(2, 2))"
"(W(3, 2) | OK(3, 2, 0) | P(3, 2))"
"(WumpusAlive(0) | OK(3, 2, 0) | P(3, 2))"
"(~P(3, 2) | ~OK(3, 2, 0))"
"(~W(3, 2) | ~WumpusAlive(0) | ~OK(3, 2, 0))"
"(~P(2, 2) | B(3, 2))"
"(~P(3, 3) | B(3, 2))"
"(~P(3, 1) | B(3, 2))"
"(P(2, 2) | P(3, 3) | P(3, 1) | ~B(3, 2))"
"(~W(2, 2) | S(3, 2))"
"(~W(3, 3) | S(3, 2))"
"(~W(3, 1) | S(3, 2))"
"(W(2, 2) | W(3, 3) | W(3, 1) | ~S(3, 2))"
"(W(1, 3) | OK(1, 3, 0) | P(1, 3))"
"(WumpusAlive(0) | OK(1, 3, 0) | P(1, 3))"
"(~P(1, 3) | ~OK(1, 3, 0))"
"(~W(1, 3) | ~WumpusAlive(0) | ~OK(1, 3, 0))"
"(~P(2, 3) | B(1, 3))"
"(~P(1, 2) | B(1, 3))"
"(P(2, 3) | P(1, 2) | ~B(1, 3))"
"(~W(2, 3) | S(1, 3))"
"(~W(1, 2) | S(1, 3))"
"(W(2, 3) | W(1, 2) | ~S(1, 3))"
"(W(2, 3) | OK(2, 3, 0) | P(2, 3))"
"(WumpusAlive(0) | OK(2, 3, 0) | P(2, 3))"
"(~P(2, 3) | ~OK(2, 3, 0))"
"(~W(2, 3) | ~WumpusAlive(0) | ~OK(2, 3, 0))"
"(~P(1, 3) | B(2, 3))"
"(~P(3, 3) | B(2, 3))"
"(~P(2, 2) | B(2, 3))"
"(P(1, 3) | P(3, 3) | P(2, 2) | ~B(2, 3))"
"(~W(1, 3) | S(2, 3))"
"(~W(3, 3) | S(2, 3))"
"(~W(2, 2) | S(2, 3))"
"(W(1, 3) | W(3, 3) | W(2, 2) | ~S(2, 3))"
"(W(3, 3) | OK(3, 3, 0) | P(3, 3))"
"(WumpusAlive(0) | OK(3, 3, 0) | P(3, 3))"
"(~P(3, 3) | ~OK(3, 3, 0))"
"(~W(3, 3) | ~WumpusAlive(0) | ~OK(3, 3, 0))"
"(~P(2, 3) | B(3, 3))"
"(~P(3, 2) | B(3, 3))"
"(P(2, 3) | P(3, 2) | ~B(3, 3))"
"(~W(2, 3) | S(3, 3))"
"(~W(3, 2) | S(3, 3))"
"(W(2, 3) | W(3, 2) | ~S(3, 3))"
"(W(1, 1) | W(1, 2) | W(1, 3) | W(2, 1) | W(2, 2) | W(2, 3) | W(3, 1) | W(3, 2) | W(3, 3))"
"(~W(1, 1) | ~W(1, 2))"
"(~W(1, 1) | ~W(1, 3))"
"(~W(1, 1) | ~W(2, 1))"
"(~W(1, 1) | ~W(2, 2))"
"(~W(1, 1) | ~W(2, 3))"
"(~W(1, 1) | ~W(3, 1))"
"(~W(1, 1) | ~W(3, 2))"
"(~W(1, 1) | ~W(3, 3))"
"(~W(1, 2) | ~W(1, 1))"
"(~W(1, 2) | ~W(1, 3))"
"(~W(1, 2) | ~W(2, 1))"
"(~W(1, 2) | ~W(2, 2))"
"(~W(1, 2) | ~W(2, 3))"
"(~W(1, 2) | ~W(3, 1))"
"(~W(1, 2) | ~W(3, 2))"
"(~W(1, 2) | ~W(3, 3))"
"(~W(1, 3) | ~W(1, 1))"
"(~W(1, 3) | ~W(1, 2))"
"(~W(1, 3) | ~W(2, 1))"
"(~W(1, 3) | ~W(2, 2))"
"(~W(1, 3) | ~W(2, 3))"
"(~W(1, 3) | ~W(3, 1))"
"(~W(1, 3) | ~W(3, 2))"
"(~W(1, 3) | ~W(3, 3))"
"(~W(2, 1) | ~W(1, 1))"
"(~W(2, 1) | ~W(1, 2))"
"(~W(2, 1) | ~W(1, 3))"
"(~W(2, 1) | ~W(2, 2))"
"(~W(2, 1) | ~W(2, 3))"
"(~W(2, 1) | ~W(3, 1))"
"(~W(2, 1) | ~W(3, 2))"
"(~W(2, 1) | ~W(3, 3))"
"(~W(2, 2) | ~W(1, 1))"
"(~W(2, 2) | ~W(1, 2))"
"(~W(2, 2) | ~W(1, 3))"
"(~W(2, 2) | ~W(2, 1))"
"(~W(2, 2) | ~W(2, 3))"
"(~W(2, 2) | ~W(3, 1))"
"(~W(2, 2) | ~W(3, 2))"
"(~W(2, 2) | ~W(3, 3))"
"(~W(2, 3) | ~W(1, 1))"
"(~W(2, 3) | ~W(1, 2))"
"(~W(2, 3) | ~W(1, 3))"
"(~W(2, 3) | ~W(2, 1))"
"(~W(2, 3) | ~W(2, 2))"
"(~W(2, 3) | ~W(3, 1))"
"(~W(2, 3) | ~W(3, 2))"
"(~W(2, 3) | ~W(3, 3))"
"(~W(3, 1) | ~W(1, 1))"
"(~W(3, 1) | ~W(1, 2))"
"(~W(3, 1) | ~W(1, 3))"
"(~W(3, 1) | ~W(2, 1))"
"(~W(3, 1) | ~W(2, 2))"
"(~W(3, 1) | ~W(2, 3))"
"(~W(3, 1) | ~W(3, 2))"
"(~W(3, 1) | ~W(3, 3))"
"(~W(3, 2) | ~W(1, 1))"
"(~W(3, 2) | ~W(1, 2))"
"(~W(3, 2) | ~W(1, 3))"
"(~W(3, 2) | ~W(2, 1))"
"(~W(3, 2) | ~W(2, 2))"
"(~W(3, 2) | ~W(2, 3))"
"(~W(3, 2) | ~W(3, 1))"
"(~W(3, 2) | ~W(3, 3))"
"(~W(3, 3) | ~W(1, 1))"
"(~W(3, 3) | ~W(1, 2))"
"(~W(3, 3) | ~W(1, 3))"
"(~W(3, 3) | ~W(2, 1))"
"(~W(3, 3) | ~W(2, 2))"
"(~W(3, 3) | ~W(2, 3))"
"(~W(3, 3) | ~W(3, 1))"
"(~W(3, 3) | ~W(3, 2))"
"L(1, 1, 0)"
"(Breeze(0) | ~B(1, 1) | ~L(1, 1, 0))"
"(B(1, 1) | ~Breeze(0) | ~L(1, 1, 0))"
"(Stench(0) | ~S(1, 1) | ~L(1, 1, 0))"
"(S(1, 1) | ~Stench(0) | ~L(1, 1, 0))"
"(Breeze(0) | ~B(1, 2) | ~L(1, 2, 0))"
"(B(1, 2) | ~Breeze(0) | ~L(1, 2, 0))"
"(Stench(0) | ~S(1, 2) | ~L(1, 2, 0))"
"(S(1, 2) | ~Stench(0) | ~L(1, 2, 0))"
"~L(1, 2, 0)"
"(Breeze(0) | ~B(1, 3) | ~L(1, 3, 0))"
"(B(1, 3) | ~Breeze(0) | ~L(1, 3, 0))"
"(Stench(0) | ~S(1, 3) | ~L(1, 3, 0))"
"(S(1, 3) | ~Stench(0) | ~L(1, 3, 0))"
"~L(1, 3, 0)"
"(Breeze(0) | ~B(2, 1) | ~L(2, 1, 0))"
"(B(2, 1) | ~Breeze(0) | ~L(2, 1, 0))"
"(Stench(0) | ~S(2, 1) | ~L(2, 1, 0))"
"(S(2, 1) | ~Stench(0) | ~L(2, 1, 0))"
"~L(2, 1, 0)"
"(Breeze(0) | ~B(2, 2) | ~L(2, 2, 0))"
"(B(2, 2) | ~Breeze(0) | ~L(2, 2, 0))"
"(Stench(0) | ~S(2, 2) | ~L(2, 2, 0))"
"(S(2, 2) | ~Stench(0) | ~L(2, 2, 0))"
"~L(2, 2, 0)"
"(Breeze(0) | ~B(2, 3) | ~L(2, 3, 0))"
"(B(2, 3) | ~Breeze(0) | ~L(2, 3, 0))"
"(Stench(0) | ~S(2, 3) | ~L(2, 3, 0))"
"(S(2, 3) | ~Stench(0) | ~L(2, 3, 0))"
"~L(2, 3, 0)"
"(Breeze(0) | ~B(3, 1) | ~L(3, 1, 0))"
"(B(3, 1) | ~Breeze(0) | ~L(3, 1, 0))"
"(Stench(0) | ~S(3, 1) | ~L(3, 1, 0))"
"(S(3, 1) | ~Stench(0) | ~L(3, 1, 0))"
"~L(3, 1, 0)"
"(Breeze(0) | ~B(3, 2) | ~L(3, 2, 0))"
"(B(3, 2) | ~Breeze(0) | ~L(3, 2, 0))"
"(Stench(0) | ~S(3, 2) | ~L(3, 2, 0))"
"(S(3, 2) | ~Stench(0) | ~L(3, 2, 0))"
"~L(3, 2, 0)"
"(Breeze(0) | ~B(3, 3) | ~L(3, 3, 0))"
"(B(3, 3) | ~Breeze(0) | ~L(3, 3, 0))"
"(Stench(0) | ~S(3, 3) | ~L(3, 3, 0))"
"(S(3, 3) | ~Stench(0) | ~L(3, 3, 0))"
"~L(3, 3, 0)"
WumpusAlive(0)
HaveArrow(0)
FacingEast(0)
~FacingNorth(0)
~FacingSouth(0)
~FacingWest(0)
~Glitter(0)
~Bump(0)
~Stench(0)
~Breeze(0)
~Scream(0)
~Forward(0)
~Shoot(0)
~TurnLeft(0)
~TurnRight(0)
~Glitter(1)
~Bump(1)
~Stench(1)
~Breeze(1)
~Scream(1)
"(Breeze(1) | ~B(1, 1) | ~L(1, 1, 1))"
"(B(1, 1) | ~Breeze(1) | ~L(1, 1, 1))"
"(Stench(1) | ~S(1, 1) | ~L(1, 1, 1))"
"(S(1, 1) | ~Stench(1) | ~L(1, 1, 1))"
"(L(1, 2, 0) | L(2, 1, 0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(FacingSouth(0) | L(2, 1, 0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(Forward(0) | L(2, 1, 0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(L(1, 2, 0) | FacingWest(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(FacingSouth(0) | FacingWest(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(Forward(0) | FacingWest(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(L(1, 2, 0) | Forward(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(FacingSouth(0) | Forward(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(Forward(0) | Forward(0) | ~L(1, 1, 1) | Forward(1) | L(1, 1, 1))"
"(L(1, 2, 0) | L(2, 1, 0) | ~Bump(1) | L(1, 1, 1))"
"(FacingSouth(0) | L(2, 1, 0) | ~Bump(1) | L(1, 1, 1))"
"(Forward(0) | L(2, 1, 0) | ~Bump(1) | L(1, 1, 1))"
"(L(1, 2, 0) | FacingWest(0) | ~Bump(1) | L(1, 1, 1))"
"(FacingSouth(0) | FacingWest(0) | ~Bump(1) | L(1, 1, 1))"
"(Forward(0) | FacingWest(0) | ~Bump(1) | L(1, 1, 1))"
"(L(1, 2, 0) | Forward(0) | ~Bump(1) | L(1, 1, 1))"
"(FacingSouth(0) | Forward(0) | ~Bump(1) | L(1, 1, 1))"
"(Forward(0) | Forward(0) | ~Bump(1) | L(1, 1, 1))"
"(L(1, 2, 0) | L(2, 1, 0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(FacingSouth(0) | L(2, 1, 0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(Forward(0) | L(2, 1, 0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(L(1, 2, 0) | FacingWest(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(FacingSouth(0) | FacingWest(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(Forward(0) | FacingWest(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(L(1, 2, 0) | Forward(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(FacingSouth(0) | Forward(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(Forward(0) | Forward(0) | L(1, 1, 1) | Bump(1) | ~L(1, 1, 1))"
"(L(1, 2, 0) | L(2, 1, 0) | ~Forward(1) | Bump(1) | ~L(1, 1, 1))"
"(FacingSouth(0) | L(2, 1, 0) | ~Forward(1) | Bump(1) | ~L(1, 1, 1))"
"(Forward(0) | L(2, 1, 0) | ~Forward(1) | Bump(1) | ~L(1, 1, 1))"
"(L(1, 2, 0) | FacingWest(0) | ~Forward(1) | Bump(1) | ~L(1, 1, 1))"
"(FacingSouth(0) | FacingWest(0) | ~Forward(1) | Bump(1) | ~L(1, 1, 1))"
