try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,263.421,7386.03,0.001,0.0356648,80.2308,26
0,1,99.4276,2277.39,0.001,0.0436585,16.2308,10
0,2,34.1016,1509.82,0.001,0.0225865,4.23077,7
0,3,15.4789,623.92,0.001,0.0248091,4.23077,7
0,4,6.35447,154.963,0.001,0.041006,4.23077,7
0,5,4.8876,116.469,0.001,0.0419644,4.23077,7
0,6,4.17249,61.5968,0.001,0.0677377,4.23077,7
0,7,3.21017,130.168,0.001,0.0246615,4.23077,7
0,8,2.82962,52.3782,0.001,0.0540218,4.23077,7
0,9,3.00571,41.6879,0.001,0.0720985,4.23077,7
0,10,3.11339,32.9444,0.001,0.0945013,4.23077,7
0,11,3.53136,60.1963,0.001,0.0586631,4.23077,7
0,12,2.59138,35.3887,0.001,0.0732242,4.15385,5
0,13,3.37085,54.4294,0.001,0.0619295,4.15385,5
0,14,2.70707,35.0474,0.001,0.0772381,4.15385,5
0,15,3.36013,54.4747,0.001,0.0616813,4.07692,3
0,16,2.68447,35.0836,0.001,0.0765143,4.07692,3
0,17,3.33174,53.8586,0.001,0.0618597,4.0,1
0,18,2.67825,35.065,0.001,0.0763775,4.0,1
0,19,3.30591,53.3435,0.001,0.0619728,4.0,1
0,20,2.66949,35.0544,0.001,0.0761506,4.0,1
0,21,3.27983,52.8124,0.001,0.0621023,4.0,1
0,22,2.66188,35.0357,0.001,0.0759741,4.0,1
0,23,3.25565,52.3375,0.001,0.0622037,4.0,1
0,24,2.65347,35.0265,0.001,0.0757539,4.0,1
0,25,3.23101,51.8514,0.001,0.0623117,4.0,1
0,26,2.64524,35.0162,0.001,0.0755412,4.0,1
0,27,3.20665,51.3632,0.001,0.0624296,4.0,1
0,28,2.63822,34.9928,0.001,0.075391,4.0,1
0,29,3.18537,50.9538,0.001,0.0625137,4.0,1
0,30,2.63063,34.9857,0.001,0.0751895,4.0,1
0,31,3.16362,50.5343,0.001,0.0626022,4.0,1
0,32,2.62304,34.9778,0.001,0.0749892,4.0,1
0,33,3.14161,50.1128,0.001,0.0626895,4.0,1
0,34,2.61525,34.9698,0.001,0.0747839,4.0,1
0,35,3.11938,49.6897,0.001,0.0627758,4.0,1
0,36,2.60734,34.9616,0.001,0.0745751,4.0,1
0,37,3.097,49.2667,0.001,0.0628607,4.0,1
0,38,2.59931,34.9532,0.001,0.0743634,4.0,1
0,39,3.07456,48.845,0.001,0.0629439,4.0,1
0,40,2.5912,34.9446,0.001,0.0741495,4.0,1
0,41,3.05212,48.4263,0.001,0.0630249,4.0,1
0,42,2.58304,34.936,0.001,0.0739342,4.0,1
0,43,3.02978,48.0119,0.001,0.0631035,4.0,1
0,44,2.57484,34.9272,0.001,0.0737181,4.0,1
0,45,3.00761,47.6033,0.001,0.0631794,4.0,1
0,46,2.56665,34.9184,0.001,0.0735021,4.0,1
0,47,2.98569,47.2019,0.001,0.0632522,4.0,1
0,48,2.55849,34.9096,0.001,0.073287,4.0,1
0,49,2.96409,46.8089,0.001,0.0633219,4.0,1
0,50,2.5504,34.9008,0.001,0.0730736,4.0,1
0,51,2.94289,46.4255,0.001,0.0633881,4.0,1
