try_idx,iter_idx,jsat,grad_sq,epsilon,alpha,err,unsat_clauses
0,0,234.923,6405.91,0.001,0.0366728,108.154,31
0,1,112.51,30488.9,0.001,0.00369018,108.154,31
0,2,84.9908,2058.32,0.001,0.0412913,52.0769,15
0,3,60.1735,16353.1,0.001,0.00367963,52.0769,15
0,4,26.6663,1147.47,0.001,0.0232393,72.0769,20
0,5,51.2136,35643.2,0.001,0.00143684,72.0769,20
0,6,29.7808,10163.7,0.001,0.00293013,72.0769,20
0,7,16.1281,657.2,0.001,0.0245406,72.0769,20
0,8,46.7183,17249.4,0.001,0.00270841,72.0769,20
0,9,12.6452,195.097,0.001,0.0648145,72.0769,20
0,10,33.3259,13332.1,0.001,0.00249967,72.0769,20
0,11,20.6794,1887.78,0.001,0.0109543,72.0769,20
0,12,21.3394,10053.5,0.001,0.00212258,72.0769,20
0,13,17.3073,656.74,0.001,0.0263533,72.0769,20
0,14,41.8671,21019.8,0.001,0.0019918,72.0769,20
0,15,14.0963,1723.7,0.001,0.00817791,52.0769,15
0,16,15.1238,311.726,0.001,0.0485161,72.0769,20
0,17,19.8361,3332.81,0.001,0.00595176,52.0769,15
0,18,18.5827,10829.0,0.001,0.00171602,72.0769,20
0,19,14.4247,592.456,0.001,0.0243472,72.0769,20
0,20,40.5179,14062.2,0.001,0.00288134,72.0769,20
0,21,16.4813,1931.84,0.001,0.00853139,52.0769,15
0,22,18.1832,10394.0,0.001,0.0017494,52.0769,15
0,23,16.2045,589.119,0.001,0.0275063,52.0769,15
0,24,36.4535,13880.8,0.001,0.00262618,52.0769,15
0,25,12.1356,341.722,0.001,0.0355129,52.0769,15
0,26,43.8536,21174.4,0.001,0.00207107,52.0769,15
0,27,13.9695,9288.78,0.001,0.00150391,52.0769,15
0,28,13.3784,475.33,0.001,0.0281454,52.0769,15
0,29,46.1525,21315.3,0.001,0.00216523,52.0769,15
0,30,16.5184,9330.88,0.001,0.0017703,52.0769,15
