graph_name,num_nodes,num_edges,block_percent,strategy,found_safe_path,iterations_used,total_info_gain
5v_6e,5,6,0,entropy,True,1,2.079450
5v_6e,5,6,0,likelihood,True,1,1.386220
5v_6e,5,6,0,random,True,1,1.386280
5v_6e,5,6,25,entropy,True,1,2.079530
5v_6e,5,6,25,likelihood,True,1,1.386280
5v_6e,5,6,25,random,True,1,1.386180
5v_6e,5,6,50,entropy,True,8,2.294507
5v_6e,5,6,50,likelihood,True,2,1.499587
5v_6e,5,6,50,random,True,2,1.416930
5v_6e,5,6,75,entropy,True,8,2.294156
5v_6e,5,6,75,likelihood,False,20,2.265121
5v_6e,5,6,75,random,True,3,2.223529
5v_6e,5,6,100,entropy,True,8,2.294751
5v_6e,5,6,100,likelihood,False,20,2.265059
5v_6e,5,6,100,random,True,2,2.192827
6v_7e,6,7,0,entropy,True,1,3.465650
6v_7e,6,7,0,likelihood,True,1,2.772690
6v_7e,6,7,0,random,True,1,3.465640
6v_7e,6,7,25,entropy,True,1,3.465710
6v_7e,6,7,25,likelihood,True,1,2.772610
6v_7e,6,7,25,random,True,1,3.465710
6v_7e,6,7,50,entropy,False,20,0.052505
6v_7e,6,7,50,likelihood,True,2,2.781590
6v_7e,6,7,50,random,True,1,2.772640
6v_7e,6,7,75,entropy,False,20,0.051743
6v_7e,6,7,75,likelihood,True,2,2.781541
6v_7e,6,7,75,random,True,12,2.832577
6v_7e,6,7,100,entropy,False,20,0.052261
6v_7e,6,7,100,likelihood,True,2,2.781527
6v_7e,6,7,100,random,True,12,2.826474
7v_13e,7,13,0,entropy,True,1,3.465770
7v_13e,7,13,0,likelihood,True,1,2.079380
7v_13e,7,13,0,random,True,1,2.079530
7v_13e,7,13,25,entropy,False,20,0.052261
7v_13e,7,13,25,likelihood,True,2,2.110355
7v_13e,7,13,25,random,True,7,3.515898
7v_13e,7,13,50,entropy,False,20,0.051987
7v_13e,7,13,50,likelihood,True,3,2.140949
7v_13e,7,13,50,random,False,20,0.148865
7v_13e,7,13,75,entropy,False,20,0.052216
7v_13e,7,13,75,likelihood,True,3,2.141026
7v_13e,7,13,75,random,False,20,0.149399
7v_13e,7,13,100,entropy,False,20,0.052200
7v_13e,7,13,100,likelihood,True,3,2.140714
7v_13e,7,13,100,random,False,20,0.189773
8v_21e,8,21,0,entropy,True,1,3.465760
8v_21e,8,21,0,likelihood,True,1,1.386290
8v_21e,8,21,0,random,True,1,3.465770
8v_21e,8,21,25,entropy,False,20,0.052307
8v_21e,8,21,25,likelihood,True,2,1.499485
8v_21e,8,21,25,random,True,1,2.079570
8v_21e,8,21,50,entropy,False,20,0.052216
8v_21e,8,21,50,likelihood,True,2,1.499508
8v_21e,8,21,50,random,False,20,0.124069
8v_21e,8,21,75,entropy,False,20,0.052399
8v_21e,8,21,75,likelihood,True,3,1.612903
8v_21e,8,21,75,random,False,20,0.114960
8v_21e,8,21,100,entropy,False,20,0.051651
8v_21e,8,21,100,likelihood,False,20,1.522400
8v_21e,8,21,100,random,False,20,0.105194
9v_19e,9,19,0,entropy,True,1,3.465770
9v_19e,9,19,0,likelihood,True,1,1.386220
9v_19e,9,19,0,random,True,1,3.465760
9v_19e,9,19,25,entropy,False,20,0.052048
9v_19e,9,19,25,likelihood,True,1,1.386430
9v_19e,9,19,25,random,False,20,0.314133
9v_19e,9,19,50,entropy,False,20,0.052322
9v_19e,9,19,50,likelihood,True,1,1.386310
9v_19e,9,19,50,random,False,20,0.193969
9v_19e,9,19,75,entropy,False,20,0.052094
9v_19e,9,19,75,likelihood,True,1,1.386220
9v_19e,9,19,75,random,False,20,0.314254
9v_19e,9,19,100,entropy,False,20,0.052979
9v_19e,9,19,100,likelihood,True,1,1.386320
9v_19e,9,19,100,random,False,20,0.194748
10v_25e,10,25,0,entropy,True,1,3.465670
10v_25e,10,25,0,likelihood,True,1,1.386370
10v_25e,10,25,0,random,True,1,2.772340
10v_25e,10,25,25,entropy,False,20,0.052536
10v_25e,10,25,25,likelihood,True,1,1.386370
10v_25e,10,25,25,random,True,1,1.386230
10v_25e,10,25,50,entropy,False,20,0.051971
10v_25e,10,25,50,likelihood,True,1,1.386380
10v_25e,10,25,50,random,True,10,3.496337
10v_25e,10,25,75,entropy,False,20,0.051910
10v_25e,10,25,75,likelihood,True,1,1.386280
10v_25e,10,25,75,random,True,1,1.386250
10v_25e,10,25,100,entropy,False,20,0.051361
10v_25e,10,25,100,likelihood,False,20,1.109771
10v_25e,10,25,100,random,True,7,3.543812
